noise_type,noise_degree,snr_mean,snr_std
burst,0.01,44.73735004001193,0.7842740791633919
burst,0.012,42.25270151208948,0.7601211277745239
burst,0.014,40.391479633472585,0.48647761899301534
burst,0.016,38.65540539776838,0.651962367708403
burst,0.018000000000000002,37.36337718257197,0.5328839050415849
burst,0.02,36.0116941663954,0.5728760531662384
burst,0.022,34.994616473162615,0.4602389574270573
burst,0.024,34.02606116400825,0.4459950695256117
burst,0.026000000000000002,33.040535114429616,0.43736769683574833
burst,0.028000000000000004,32.13599416944716,0.3985349265852285
burst,0.03,31.468034391049986,0.3753552723724292
burst,0.032,30.687380684746635,0.3302754305168604
burst,0.034,30.12327695775915,0.38879364403259786
burst,0.036000000000000004,29.444235695732964,0.3194005948843314
burst,0.038,28.82535524721499,0.3907225151354744
burst,0.04,28.32826254102919,0.2615348957637113
burst,0.042,27.84390498973705,0.3109119093957994
burst,0.044000000000000004,27.21114850927282,0.2508026170717397
burst,0.046000000000000006,26.810884758278174,0.2800572549414057
burst,0.048,26.326601876152885,0.38053759751806704
burst,0.05,25.936027244285302,0.27260757140488734
burst,0.052000000000000005,25.522674348619248,0.23233824535862566
burst,0.054,25.115785386827255,0.33764553477025455
burst,0.056,24.63468445671929,0.3001020335478031
burst,0.058,24.29782839174624,0.26986070886419855
burst,0.06,24.186396987349898,0.3330611245059267
burst,0.06999999999999999,22.545732427526403,0.22502273855192426
burst,0.07999999999999999,21.27499114142524,0.27463537699198015
burst,0.08999999999999998,20.23650183501067,0.21347291379602185
burst,0.09999999999999998,19.181143796002424,0.1744168277564868
burst,0.10999999999999997,18.316912474455656,0.2342724639069596
burst,0.11999999999999997,17.62814500596788,0.23623570805263783
burst,0.12999999999999995,16.806234430383753,0.17309265603410626
burst,0.13999999999999996,16.174674952471698,0.2073754600149803
burst,0.14999999999999997,15.461337901927807,0.16734396331764878
burst,0.15999999999999995,14.994240972730848,0.21728358056575772
burst,0.16999999999999993,14.473481248926234,0.17088213441838068
burst,0.17999999999999994,14.0102683879711,0.22571178999493574
burst,0.18999999999999995,13.56303338651304,0.28335144921592237
burst,0.19999999999999993,13.05396302541097,0.2214735262482898
burst,0.2099999999999999,12.692474259270561,0.1925291928856866
burst,0.21999999999999992,12.262549365008319,0.2120253892893024
burst,0.22999999999999993,11.832778542130082,0.22346552918577361
burst,0.2399999999999999,11.557451636702925,0.21277579515987208
burst,0.2499999999999999,11.223668769553855,0.16608665961663016
burst,0.2599999999999999,10.783406434235749,0.1672160215206996
burst,0.2699999999999999,10.421931196142125,0.19978034275446485
burst,0.2799999999999999,10.256113476223415,0.19501121686765194
burst,0.28999999999999987,9.820689695852774,0.15249687343585852
burst,0.2999999999999999,9.569313826384368,0.2456206951789708
burst,0.3099999999999999,9.2332069962113,0.1884399025862027
burst,0.3199999999999999,9.014110600506818,0.18518318871314923
burst,0.32999999999999985,8.808571815490723,0.23487015411139756
burst,0.33999999999999986,8.48727469974094,0.20364896539405808
burst,0.34999999999999987,8.161161917227286,0.23150566599658087
burst,0.3599999999999998,7.98607854489927,0.18865438755924868
burst,0.36999999999999983,7.716534720526801,0.15742817130239578
burst,0.37999999999999984,7.5303173595004615,0.23884757496731684
burst,0.38999999999999985,7.322527567545573,0.18774218823004302
burst,0.39999999999999986,7.060997521435773,0.19089589730194897
burst,0.4099999999999998,6.888713554099754,0.23260017467587937
burst,0.4199999999999998,6.589962500113028,0.2567144972239959
burst,0.4299999999999998,6.476139933974655,0.21985145848985363
burst,0.4399999999999998,6.342534118228489,0.16366003099994947
burst,0.4499999999999998,6.021807123113562,0.21074312071405632
burst,0.4599999999999998,5.860694373095477,0.16267467876550212
burst,0.4699999999999998,5.640544856036151,0.1968828658363579
burst,0.4799999999999998,5.480040144037317,0.24198926480553434
burst,0.48999999999999977,5.211064780199969,0.22823587267838014
burst,0.4999999999999998,5.07647380122432,0.18942723112021317
burst,0.5099999999999998,,
burst,0.5199999999999998,,
burst,0.5299999999999998,,
burst,0.5399999999999998,,
burst,0.5499999999999998,,
burst,0.5599999999999998,,
burst,0.5699999999999998,,
burst,0.5799999999999998,,
burst,0.5899999999999996,,
burst,0.5999999999999996,,
burst,0.6099999999999997,,
burst,0.6199999999999997,,
burst,0.6299999999999997,,
burst,0.6399999999999997,,
burst,0.6499999999999997,,
burst,0.6599999999999997,,
burst,0.6699999999999997,,
burst,0.6799999999999997,,
burst,0.6899999999999997,,
burst,0.6999999999999997,,
burst,0.7099999999999997,,
burst,0.7199999999999998,,
burst,0.7299999999999998,,
burst,0.7399999999999998,,
burst,0.7499999999999996,,
burst,0.7599999999999996,,
burst,0.7699999999999996,,
burst,0.7799999999999996,,
burst,0.7899999999999996,,
burst,0.7999999999999996,,
phase,0.01,40.000006640398944,0.0017148931828798284
phase,0.012,38.417426639133026,0.0016147027141036657
phase,0.014,37.078039522524236,0.0022855771649486004
phase,0.016,35.918166125262225,0.0018201069784850742
phase,0.018000000000000002,34.89548450046115,0.002015707899822414
phase,0.02,33.980103386773,0.0016261022092660122
phase,0.022,33.15205609356916,0.0019005906536944592
phase,0.024,32.396051477502894,0.0013649662150180474
phase,0.026000000000000002,31.701957914564346,0.002025388539559446
phase,0.028000000000000004,31.05761902420609,0.0019664432759419767
phase,0.03,30.458766725328232,0.0020355587677382482
phase,0.032,29.89794844168204,0.0017043375093391256
